Time (s),T1 (°C),T2 (°C),Heater Input (V),Fan Input (V),Vane Input (V)
0.0,22.314,23.047,0.0,10.0,0.0
0.1,22.314,23.096,0.0,0.0,0.0
0.2,22.266,22.998,0.177,0.0,0.0
0.3,22.266,23.047,0.354,0.0,0.0
0.4,22.217,22.998,0.531,0.0,0.0
0.5,22.217,22.998,0.708,0.0,0.0
0.6,22.217,22.998,0.886,0.0,0.0
0.7,22.217,22.998,1.064,0.0,0.0
0.8,22.266,23.047,1.242,0.0,0.0
0.9,22.266,23.047,1.419,0.0,0.0
1.0,22.266,22.998,1.597,0.0,0.0
1.1,22.266,23.047,1.774,0.0,0.0
1.2,22.217,22.998,1.774,0.0,0.0
1.3,22.266,22.998,1.951,0.0,0.0
1.4,22.217,22.998,2.129,0.0,0.0
1.5,22.217,22.998,2.306,0.0,0.0
1.6,22.266,23.047,2.484,0.0,0.0
1.7,22.266,23.047,2.662,0.0,0.0
1.8,22.266,22.998,2.839,0.0,0.0
1.9,22.266,23.047,3.017,0.0,0.0
2.0,22.266,22.998,3.194,0.0,0.0
2.1,22.266,22.998,3.371,0.0,0.0
2.2,22.266,23.047,3.549,0.0,0.0
2.3,22.266,22.998,3.726,0.0,0.0
2.4,22.217,22.998,3.904,0.0,0.0
2.5,22.266,23.047,4.081,0.0,0.0
2.6,22.266,23.047,4.259,0.0,0.0
2.7,22.266,23.047,4.436,0.0,0.0
2.8,22.266,23.047,4.613,0.0,0.0
2.9,22.266,23.047,4.791,0.0,0.0
3.0,22.266,22.998,4.791,0.0,0.0
3.1,22.266,22.998,4.968,0.0,0.0
3.2,22.266,23.047,5.145,0.0,0.0
3.3,22.266,23.047,5.323,0.0,0.0
3.4,22.266,23.047,5.5,0.0,0.0
3.5,22.217,22.998,5.677,0.0,0.0
3.6,22.266,23.047,5.855,0.0,0.0
3.7,22.266,23.047,6.033,0.0,0.0
3.8,22.266,23.047,6.21,0.0,0.0
3.9,22.266,23.047,6.387,0.0,0.0
4.0,22.266,23.047,6.565,0.0,0.0
4.1,22.266,23.047,6.742,0.0,0.0
4.2,22.266,23.047,6.919,0.0,0.0
4.3,22.314,23.047,7.097,0.0,0.0
4.4,22.266,23.047,7.274,0.0,0.0
4.5,22.266,23.047,7.451,0.0,0.0
4.6,22.314,23.047,7.628,0.0,0.0
4.7,22.314,22.998,7.805,0.0,0.0
4.8,22.314,22.998,7.805,0.0,0.0
4.9,22.314,23.047,7.982,0.0,0.0
5.0,22.314,23.047,8.159,0.0,0.0
5.1,22.314,23.047,8.336,0.0,0.0
5.2,22.314,23.047,8.513,0.0,0.0
5.3,22.314,23.047,8.689,0.0,0.0
5.4,22.314,22.998,8.866,0.0,0.0
