Time (s),T1 (°C),T2 (°C),Heater Input (V),Fan Input (V),Vane Input (V)
0.0,22.461,23.291,0.0,10.0,0.0
0.1,22.412,23.291,0.0,10.0,0.0
0.2,22.461,23.34,0.0,10.0,0.0
0.3,22.461,23.34,0.0,10.0,0.0
0.4,22.461,23.34,0.0,10.0,0.0
0.5,22.461,23.389,0.0,10.0,0.0
0.6,22.461,23.34,0.0,10.0,0.0
0.7,22.461,23.34,0.0,10.0,0.0
0.8,22.461,23.34,0.0,10.0,0.0
0.9,22.461,23.34,0.0,10.0,0.0
1.0,22.461,23.34,0.0,10.0,0.0
1.1,22.461,23.34,0.0,10.0,0.0
1.2,22.461,23.389,0.0,10.0,0.0
1.3,22.461,23.34,0.0,10.0,0.0
1.4,22.461,23.34,0.0,10.0,0.0
1.5,22.461,23.34,0.0,10.0,0.0
1.6,22.461,23.34,0.0,10.0,0.0
1.7,22.461,23.34,0.0,10.0,0.0
1.8,22.51,23.389,0.0,10.0,0.0
1.9,22.461,23.34,0.0,10.0,0.0
2.0,22.461,23.34,0.0,10.0,0.0
2.1,22.51,23.389,0.0,10.0,0.0
2.2,22.51,23.389,0.0,10.0,0.0
2.3,22.461,23.34,0.0,10.0,0.0
2.4,22.51,23.389,0.0,10.0,0.0
2.5,22.51,23.389,0.0,10.0,0.0
2.6,22.461,23.34,0.0,10.0,0.0
2.7,22.461,23.34,0.0,10.0,0.0
2.8,22.51,23.389,0.0,10.0,0.0
2.9,22.461,23.34,0.0,10.0,0.0
3.0,22.51,23.389,0.0,10.0,0.0
3.1,22.51,23.389,0.0,10.0,0.0
3.2,22.461,23.34,0.0,10.0,0.0
3.3,22.461,23.34,0.0,10.0,0.0
3.4,22.51,23.389,0.0,10.0,0.0
3.5,22.51,23.389,0.0,10.0,0.0
3.6,22.51,23.34,0.0,10.0,0.0
3.7,22.559,23.438,0.0,10.0,0.0
3.8,22.51,23.389,0.0,10.0,0.0
3.9,22.51,23.438,0.0,10.0,0.0
4.0,22.461,23.389,0.0,10.0,0.0
4.1,22.51,23.389,0.0,10.0,0.0
4.2,22.559,23.438,0.0,10.0,0.0
4.3,22.51,23.389,0.0,10.0,0.0
4.4,22.607,23.486,0.0,10.0,0.0
4.5,22.559,23.438,0.0,10.0,0.0
4.6,22.559,23.438,0.0,10.0,0.0
4.7,22.607,23.486,0.0,10.0,0.0
4.8,22.559,23.389,0.0,10.0,0.0
4.9,22.51,23.389,0.0,10.0,0.0
5.0,22.51,23.389,0.0,10.0,0.0
5.1,22.461,23.34,0.0,10.0,0.0
