Time (s),T1 (°C),T2 (°C),Heater Input (V),Fan Input (V),Vane Input (V)
0.0,22.559,23.535,0.0,10.0,0.0
0.1,22.607,23.584,10.0,0.0,0.0
0.2,22.51,23.486,10.0,0.0,0.0
0.3,22.51,23.486,10.0,0.0,0.0
0.4,22.51,23.486,10.0,0.0,0.0
0.5,22.51,23.486,10.0,0.0,0.0
0.6,22.51,23.486,10.0,0.0,0.0
0.7,22.51,23.486,10.0,0.0,0.0
0.8,22.559,23.486,10.0,0.0,0.0
0.9,22.559,23.535,10.0,0.0,0.0
1.0,22.51,23.486,10.0,0.0,0.0
1.1,22.51,23.486,10.0,0.0,0.0
1.2,22.51,23.486,10.0,0.0,0.0
1.3,22.51,23.486,10.0,0.0,0.0
1.4,22.51,23.486,10.0,0.0,0.0
1.5,22.51,23.486,10.0,0.0,0.0
1.6,22.51,23.486,10.0,0.0,0.0
1.7,22.559,23.486,10.0,0.0,0.0
1.8,22.51,23.486,10.0,0.0,0.0
1.9,22.51,23.486,10.0,0.0,0.0
2.0,22.559,23.486,10.0,0.0,0.0
2.1,22.559,23.486,10.0,0.0,0.0
2.2,22.51,23.486,10.0,0.0,0.0
2.3,22.559,23.486,10.0,0.0,0.0
2.4,22.51,23.486,10.0,0.0,0.0
2.5,22.559,23.486,10.0,0.0,0.0
2.6,22.559,23.486,10.0,0.0,0.0
2.7,22.559,23.486,10.0,0.0,0.0
2.8,22.559,23.486,10.0,0.0,0.0
2.9,22.51,23.438,10.0,0.0,0.0
3.0,22.559,23.486,10.0,0.0,0.0
3.1,22.559,23.486,10.0,0.0,0.0
3.2,22.559,23.486,10.0,0.0,0.0
3.3,22.607,23.486,10.0,0.0,0.0
3.4,22.607,23.486,10.0,0.0,0.0
3.5,22.607,23.486,10.0,0.0,0.0
3.6,22.607,23.486,10.0,0.0,0.0
3.7,22.656,23.486,10.0,0.0,0.0
3.8,22.607,23.486,10.0,0.0,0.0
3.9,22.656,23.486,10.0,0.0,0.0
4.0,22.656,23.486,10.0,0.0,0.0
4.1,22.656,23.486,10.0,0.0,0.0
4.2,22.705,23.486,10.0,0.0,0.0
